university,query,max_100_count,no_max_count,overlap,only_in_max_100,only_in_no_max
NYU,site:nyu.edu New York University AI policy academic integrity,12,9,9,3,0
NYU,site:nyu.edu New York University ChatGPT policy students,7,3,1,6,2
NYU,site:nyu.edu New York University generative AI policy,15,13,13,2,0
NYU,site:nyu.edu New York University provost generative AI guidance,7,7,5,2,2
NYU,site:nyu.edu New York University teaching and learning generative AI guidance,3,5,3,0,2
UW,site:washington.edu University of Washington-Seattle Campus AI policy academic integrity,7,8,6,1,2
UW,site:washington.edu University of Washington-Seattle Campus ChatGPT policy students,11,7,5,6,2
UW,site:washington.edu University of Washington-Seattle Campus generative AI policy,15,10,10,5,0
UW,site:washington.edu University of Washington-Seattle Campus provost generative AI guidance,10,5,4,6,1
UW,site:washington.edu University of Washington-Seattle Campus teaching and learning generative AI guidance,7,6,6,1,0
